,1,"United States",18961,21
,2,"China",10480,11
,3,"Japan",4531,5
,4,"India",3660,4
,5,"Russia",3493,4
,6,"Brazil",3003,3
,7,"Saudi Arabia",2961,3
,8,"Canada",2431,3
,9,"Germany",2403,3
,10,"Korea, South",2324,3
,11,"Mexico",2044,2
,12,"Iran",1885,2
,13,"France",1767,2
,14,"Indonesia",1718,2
,15,"United Kingdom",1508,2
,16,"Italy",1315,1
,17,"Singapore",1240,1
,18,"Spain",1205,1
,19,"Thailand",1171,1
,20,"Australia",1083,1
,21,"Netherlands",987,1
,22,"Taiwan",975,1
,23,"Argentina",770,1
,24,"Egypt",752,1
,25,"Iraq",750,1
,26,"Venezuela",746,1
,27,"Turkey",719,1
,28,"United Arab Emirates",694,1
,29,"Malaysia",680,1
,30,"Belgium",613,1
,31,"South Africa",612,1
,32,"Poland",511,1
,33,"Vietnam",471,1
,34,"Kuwait",467,1
,35,"Pakistan",434,0
,36,"Algeria",390,0
,37,"Hong Kong",360,0
,38,"Chile",340,0
,39,"Colombia",324,0
,40,"Philippines",314,0
,41,"Sweden",299,0
,42,"Morocco",293,0
,43,"Greece",284,0
,44,"Nigeria",280,0
,45,"U.S. Territories",276,0
,46,"Switzerland",264,0
,47,"Austria",263,0
,48,"Ukraine",255,0
,49,"Ecuador",254,0
,50,"Kazakhstan",248,0
,51,"Libya",242,0
,52,"Portugal",241,0
,53,"Israel",238,0
,54,"Qatar",230,0
,55,"Peru",226,0
,56,"Syria",224,0
,57,"Norway",223,0
,58,"Finland",198,0
,59,"Czech Republic",188,0
,59,"Romania",188,0
,61,"Oman",172,0
,62,"Belarus",171,0
,63,"Cuba",170,0
,64,"Denmark",155,0
,65,"New Zealand",152,0
,66,"Turkmenistan",144,0
,67,"Ireland",142,0
,68,"Hungary",135,0
,69,"Jordan",134,0
,69,"Panama",134,0
,69,"Yemen",134,0
,72,"Lebanon",125,0
,73,"Dominican Republic",115,0
,74,"Angola",112,0
,75,"Bangladesh",109,0
,76,"Sri Lanka",108,0
,77,"Sudan and South Sudan",107,0
,78,"Azerbaijan",99,0
,79,"Netherlands Antilles",90,0
,80,"Bulgaria",89,0
,81,"Tunisia",86,0
,82,"Kenya",84,0
,83,"Croatia",75,0
,83,"Ghana",75,0
,85,"Serbia",72,0
,86,"Bolivia",71,0
,86,"Slovakia",71,0
,88,"Guatemala",69,0
,88,"Uzbekistan",69,0
,90,"Uruguay",64,0
,91,"Luxembourg",59,0
,92,"Lithuania",55,0
,93,"Cyprus",53,0
,93,"Gibraltar",53,0
,93,"Jamaica",53,0
,96,"Ethiopia",51,0
,96,"Slovenia",51,0
,98,"Bahrain",50,0
,98,"Costa Rica",50,0
,100,"Honduras",49,0
,101,"El Salvador",45,0
,102,"Afghanistan",43,0
,103,"Malta",42,0
,103,"Trinidad and Tobago",42,0
,105,"Cameroon",38,0
,105,"Senegal",38,0
,107,"Paraguay",35,0
,107,"Tanzania",35,0
,109,"Bosnia and Herzegovina",34,0
,109,"Latvia",34,0
,111,"Kyrgyzstan",33,0
,112,"Benin",31,0
,113,"Estonia",30,0
,113,"Nicaragua",30,0
,115,"Cambodia",28,0
,116,"Cote dIvoire (IvoryCoast)",26,0
,117,"Albania",25,0
,117,"Burma (Myanmar)",25,0
,119,"Mauritius",24,0
,119,"Mongolia",24,0
,121,"Bahamas, The",23,0
,122,"Namibia",22,0
,122,"Uganda",22,0
,124,"Georgia",21,0
,125,"Congo (Kinshasa)",20,0
,125,"Nepal",20,0
,125,"Papua New Guinea",20,0
,125,"Reunion",20,0
,129,"Macedonia",19,0
,130,"Botswana",18,0
,130,"Brunei",18,0
,130,"Gabon",18,0
,130,"Zambia",18,0
,134,"Iceland",17,0
,134,"Korea, North",17,0
,134,"Martinique",17,0
,134,"Mozambique",17,0
,134,"Suriname",17,0
,139,"Moldova",16,0
,139,"Palestinian Territories",16,0
,141,"Congo (Brazzaville)",15,0
,141,"Guadeloupe",15,0
,141,"Haiti",15,0
,141,"New Caledonia",15,0
,145,"Zimbabwe",14,0
,146,"Mauritania",13,0
,146,"Togo",13,0
,148,"Burkina Faso",12,0
,148,"Kosovo",12,0
,148,"Madagascar",12,0
,148,"Tajikistan",12,0
,152,"Guyana",11,0
,152,"Macau",11,0
,154,"Fiji",9.4,0
,155,"Wake Island",9.3,0
,156,"Barbados",9,0
,156,"Guinea",9,0
,158,"Armenia",8.7,0
,159,"Djibouti",8,0
,160,"French Polynesia",7,0
,160,"Greenland",7,0
,162,"Maldives",6.9,0
,163,"Seychelles",6.8,0
,164,"Aruba",6.4,0
,165,"Malawi",6,0
,165,"Montenegro",6,0
,167,"Somalia",5.6,0
,168,"French Guiana",5.5,0
,169,"Rwanda",5.3,0
,170,"Niger",5,0
,171,"Antigua and Barbuda",4.9,0
,171,"Equatorial Guinea",4.9,0
,171,"Faroe Islands",4.9,0
,174,"Swaziland",4.8,0
,175,"Mali",4.7,0
,176,"Bermuda",4.6,0
,177,"Sierra Leone",4.4,0
,178,"Liberia",3.8,0
,179,"Cayman Islands",3.7,0
,180,"Belize",3.5,0
,180,"Eritrea",3.5,0
,182,"Laos",3.2,0
,183,"Gambia, The",3.1,0
,184,"Saint Lucia",3,0
,185,"Guinea-Bissau",2.7,0
,186,"Cape Verde",2.6,0
,187,"American Samoa",2.4,0
,188,"Central African Republic",2.3,0
,189,"Bhutan",2,0
,189,"Grenada",2,0
,189,"U.S. Pacific Islands",2,0
,192,"Chad",1.7,0
,192,"Saint Kitts and Nevis",1.7,0
,192,"Western Sahara",1.7,0
,195,"Lesotho",1.6,0
,196,"Burundi",1.5,0
,196,"Saint Vincent/Grenadines",1.5,0
,196,"Solomon Islands",1.5,0
,199,"Timor-Leste (East Timor)",1.3,0
,199,"Turks and Caicos Islands",1.3,0
,201,"Tonga",1.2,0
